date,region,transport_type,emissions_mt_co2e,data_source,confidence_level,methodology
2023-03-01,Asia Pacific,Aviation,85.09,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Asia Pacific,Shipping,139.81,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Asia Pacific,Rail,32.74,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Latin America,Road Transport,84.8,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Latin America,Aviation,49.24,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Latin America,Shipping,28.02,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Latin America,Rail,13.98,Climate TRACE,medium,Satellite + ground monitoring
2023-03-01,Africa,Road Transport,80.78,Climate TRACE,medium,Satellite + ground monitoring
2023-03-01,Africa,Aviation,20.8,Climate TRACE,low,Satellite + ground monitoring
2023-03-01,Africa,Shipping,43.12,Climate TRACE,low,Satellite + ground monitoring
2023-03-01,Africa,Rail,10.75,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Middle East,Road Transport,170.14,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Middle East,Aviation,40.76,Climate TRACE,medium,Satellite + ground monitoring
2023-03-01,Middle East,Shipping,29.26,Climate TRACE,high,Satellite + ground monitoring
2023-03-01,Middle East,Rail,5.73,Climate TRACE,medium,Satellite + ground monitoring
2023-04-01,North America,Road Transport,183.78,Climate TRACE,medium,Satellite + ground monitoring
2023-04-01,North America,Aviation,34.15,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,North America,Shipping,163.03,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,North America,Rail,30.03,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,Europe,Road Transport,56.02,Climate TRACE,medium,Satellite + ground monitoring
2023-04-01,Europe,Aviation,61.76,Climate TRACE,medium,Satellite + ground monitoring
2023-04-01,Europe,Shipping,33.15,Climate TRACE,medium,Satellite + ground monitoring
2023-04-01,Europe,Rail,20.63,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,Asia Pacific,Road Transport,258.42,Climate TRACE,low,Satellite + ground monitoring
2023-04-01,Asia Pacific,Aviation,64.29,Climate TRACE,medium,Satellite + ground monitoring
2023-04-01,Asia Pacific,Shipping,128.35,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,Asia Pacific,Rail,26.61,Climate TRACE,medium,Satellite + ground monitoring
2023-04-01,Latin America,Road Transport,117.17,Climate TRACE,medium,Satellite + ground monitoring
2023-04-01,Latin America,Aviation,28.86,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,Latin America,Shipping,85.24,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,Latin America,Rail,9.95,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,Africa,Road Transport,30.16,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,Africa,Aviation,35.63,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,Africa,Shipping,24.3,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,Africa,Rail,9.63,Climate TRACE,medium,Satellite + ground monitoring
2023-04-01,Middle East,Road Transport,101.07,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,Middle East,Aviation,43.57,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,Middle East,Shipping,57.96,Climate TRACE,high,Satellite + ground monitoring
2023-04-01,Middle East,Rail,15.36,Climate TRACE,low,Satellite + ground monitoring
2023-05-01,North America,Road Transport,94.34,Climate TRACE,low,Satellite + ground monitoring
2023-05-01,North America,Aviation,47.99,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,North America,Shipping,52.52,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,North America,Rail,10.46,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,Europe,Road Transport,76.59,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,Europe,Aviation,41.8,Climate TRACE,medium,Satellite + ground monitoring
2023-05-01,Europe,Shipping,109.0,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,Europe,Rail,9.84,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,Asia Pacific,Road Transport,213.69,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,Asia Pacific,Aviation,112.07,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,Asia Pacific,Shipping,80.89,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,Asia Pacific,Rail,38.34,Climate TRACE,medium,Satellite + ground monitoring
2023-05-01,Latin America,Road Transport,113.06,Climate TRACE,medium,Satellite + ground monitoring
2023-05-01,Latin America,Aviation,18.78,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,Latin America,Shipping,51.34,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,Latin America,Rail,6.6,Climate TRACE,medium,Satellite + ground monitoring
2023-05-01,Africa,Road Transport,25.18,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,Africa,Aviation,29.57,Climate TRACE,medium,Satellite + ground monitoring
2023-05-01,Africa,Shipping,37.77,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,Africa,Rail,4.0,Climate TRACE,medium,Satellite + ground monitoring
2023-05-01,Middle East,Road Transport,72.31,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,Middle East,Aviation,20.84,Climate TRACE,medium,Satellite + ground monitoring
2023-05-01,Middle East,Shipping,75.35,Climate TRACE,high,Satellite + ground monitoring
2023-05-01,Middle East,Rail,17.31,Climate TRACE,medium,Satellite + ground monitoring
2023-06-01,North America,Road Transport,232.31,Climate TRACE,medium,Satellite + ground monitoring
2023-06-01,North America,Aviation,75.8,Climate TRACE,medium,Satellite + ground monitoring
2023-06-01,North America,Shipping,73.15,Climate TRACE,medium,Satellite + ground monitoring
2023-06-01,North America,Rail,13.89,Climate TRACE,high,Satellite + ground monitoring
2023-06-01,Europe,Road Transport,91.73,Climate TRACE,medium,Satellite + ground monitoring
2023-06-01,Europe,Aviation,70.88,Climate TRACE,medium,Satellite + ground monitoring
2023-06-01,Europe,Shipping,102.76,Climate TRACE,high,Satellite + ground monitoring
2023-06-01,Europe,Rail,17.26,Climate TRACE,medium,Satellite + ground monitoring
2023-06-01,Asia Pacific,Road Transport,140.65,Climate TRACE,high,Satellite + ground monitoring
2023-06-01,Asia Pacific,Aviation,45.41,Climate TRACE,medium,Satellite + ground monitoring
2023-06-01,Asia Pacific,Shipping,73.96,Climate TRACE,low,Satellite + ground monitoring
2023-06-01,Asia Pacific,Rail,33.43,Climate TRACE,high,Satellite + ground monitoring
2023-06-01,Latin America,Road Transport,82.06,Climate TRACE,high,Satellite + ground monitoring
2023-06-01,Latin America,Aviation,45.9,Climate TRACE,medium,Satellite + ground monitoring
2023-06-01,Latin America,Shipping,67.78,Climate TRACE,high,Satellite + ground monitoring
2023-06-01,Latin America,Rail,15.09,Climate TRACE,high,Satellite + ground monitoring
2023-06-01,Africa,Road Transport,58.84,Climate TRACE,high,Satellite + ground monitoring
2023-06-01,Africa,Aviation,17.02,Climate TRACE,high,Satellite + ground monitoring
2023-06-01,Africa,Shipping,18.64,Climate TRACE,high,Satellite + ground monitoring
2023-06-01,Africa,Rail,4.98,Climate TRACE,medium,Satellite + ground monitoring
2023-06-01,Middle East,Road Transport,33.82,Climate TRACE,high,Satellite + ground monitoring
2023-06-01,Middle East,Aviation,51.03,Climate TRACE,medium,Satellite + ground monitoring
2023-06-01,Middle East,Shipping,30.78,Climate TRACE,high,Satellite + ground monitoring
2023-06-01,Middle East,Rail,9.89,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,North America,Road Transport,127.53,Climate TRACE,low,Satellite + ground monitoring
2023-07-01,North America,Aviation,35.43,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,North America,Shipping,33.15,Climate TRACE,medium,Satellite + ground monitoring
2023-07-01,North America,Rail,9.54,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,Europe,Road Transport,62.28,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,Europe,Aviation,26.24,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,Europe,Shipping,41.04,Climate TRACE,medium,Satellite + ground monitoring
2023-07-01,Europe,Rail,11.54,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,Asia Pacific,Road Transport,185.92,Climate TRACE,low,Satellite + ground monitoring
2023-07-01,Asia Pacific,Aviation,41.38,Climate TRACE,medium,Satellite + ground monitoring
2023-07-01,Asia Pacific,Shipping,75.1,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,Asia Pacific,Rail,19.57,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,Latin America,Road Transport,27.2,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,Latin America,Aviation,34.95,Climate TRACE,low,Satellite + ground monitoring
2023-07-01,Latin America,Shipping,42.44,Climate TRACE,low,Satellite + ground monitoring
2023-07-01,Latin America,Rail,2.99,Climate TRACE,medium,Satellite + ground monitoring
2023-07-01,Africa,Road Transport,21.52,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,Africa,Aviation,14.06,Climate TRACE,low,Satellite + ground monitoring
2023-07-01,Africa,Shipping,12.03,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,Africa,Rail,6.77,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,Middle East,Road Transport,95.23,Climate TRACE,medium,Satellite + ground monitoring
2023-07-01,Middle East,Aviation,37.78,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,Middle East,Shipping,68.2,Climate TRACE,high,Satellite + ground monitoring
2023-07-01,Middle East,Rail,11.89,Climate TRACE,medium,Satellite + ground monitoring
2023-08-01,North America,Road Transport,94.47,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,North America,Aviation,81.15,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,North America,Shipping,122.29,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,North America,Rail,19.43,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,Europe,Road Transport,67.63,Climate TRACE,medium,Satellite + ground monitoring
2023-08-01,Europe,Aviation,31.01,Climate TRACE,medium,Satellite + ground monitoring
2023-08-01,Europe,Shipping,45.26,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,Europe,Rail,19.07,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,Asia Pacific,Road Transport,220.03,Climate TRACE,low,Satellite + ground monitoring
2023-08-01,Asia Pacific,Aviation,52.97,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,Asia Pacific,Shipping,63.84,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,Asia Pacific,Rail,21.76,Climate TRACE,low,Satellite + ground monitoring
2023-08-01,Latin America,Road Transport,90.73,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,Latin America,Aviation,16.21,Climate TRACE,medium,Satellite + ground monitoring
2023-08-01,Latin America,Shipping,23.77,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,Latin America,Rail,13.02,Climate TRACE,low,Satellite + ground monitoring
2023-08-01,Africa,Road Transport,68.47,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,Africa,Aviation,11.27,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,Africa,Shipping,19.21,Climate TRACE,low,Satellite + ground monitoring
2023-08-01,Africa,Rail,4.86,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,Middle East,Road Transport,56.16,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,Middle East,Aviation,14.16,Climate TRACE,high,Satellite + ground monitoring
2023-08-01,Middle East,Shipping,50.22,Climate TRACE,medium,Satellite + ground monitoring
2023-08-01,Middle East,Rail,13.47,Climate TRACE,medium,Satellite + ground monitoring
2023-09-01,North America,Road Transport,138.3,Climate TRACE,medium,Satellite + ground monitoring
2023-09-01,North America,Aviation,20.2,Climate TRACE,medium,Satellite + ground monitoring
2023-09-01,North America,Shipping,90.76,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,North America,Rail,10.05,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,Europe,Road Transport,145.95,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,Europe,Aviation,63.02,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,Europe,Shipping,27.96,Climate TRACE,medium,Satellite + ground monitoring
2023-09-01,Europe,Rail,20.48,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,Asia Pacific,Road Transport,196.04,Climate TRACE,medium,Satellite + ground monitoring
2023-09-01,Asia Pacific,Aviation,55.28,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,Asia Pacific,Shipping,101.65,Climate TRACE,medium,Satellite + ground monitoring
2023-09-01,Asia Pacific,Rail,9.5,Climate TRACE,low,Satellite + ground monitoring
2023-09-01,Latin America,Road Transport,59.47,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,Latin America,Aviation,16.71,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,Latin America,Shipping,60.37,Climate TRACE,medium,Satellite + ground monitoring
2023-09-01,Latin America,Rail,7.79,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,Africa,Road Transport,55.59,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,Africa,Aviation,13.38,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,Africa,Shipping,16.73,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,Africa,Rail,3.6,Climate TRACE,medium,Satellite + ground monitoring
2023-09-01,Middle East,Road Transport,88.68,Climate TRACE,low,Satellite + ground monitoring
2023-09-01,Middle East,Aviation,28.3,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,Middle East,Shipping,19.25,Climate TRACE,high,Satellite + ground monitoring
2023-09-01,Middle East,Rail,11.15,Climate TRACE,high,Satellite + ground monitoring
2023-10-01,North America,Road Transport,67.55,Climate TRACE,low,Satellite + ground monitoring
2023-10-01,North America,Aviation,54.3,Climate TRACE,medium,Satellite + ground monitoring
2023-10-01,North America,Shipping,37.27,Climate TRACE,medium,Satellite + ground monitoring
2023-10-01,North America,Rail,17.85,Climate TRACE,high,Satellite + ground monitoring
2023-10-01,Europe,Road Transport,78.84,Climate TRACE,high,Satellite + ground monitoring
2023-10-01,Europe,Aviation,56.33,Climate TRACE,medium,Satellite + ground monitoring
2023-10-01,Europe,Shipping,91.49,Climate TRACE,medium,Satellite + ground monitoring
2023-10-01,Europe,Rail,12.65,Climate TRACE,medium,Satellite + ground monitoring
2023-10-01,Asia Pacific,Road Transport,219.7,Climate TRACE,high,Satellite + ground monitoring
2023-10-01,Asia Pacific,Aviation,67.68,Climate TRACE,medium,Satellite + ground monitoring
2023-10-01,Asia Pacific,Shipping,73.72,Climate TRACE,high,Satellite + ground monitoring
2023-10-01,Asia Pacific,Rail,9.87,Climate TRACE,low,Satellite + ground monitoring
2023-10-01,Latin America,Road Transport,40.88,Climate TRACE,high,Satellite + ground monitoring
2023-10-01,Latin America,Aviation,34.83,Climate TRACE,high,Satellite + ground monitoring
2023-10-01,Latin America,Shipping,59.99,Climate TRACE,high,Satellite + ground monitoring
2023-10-01,Latin America,Rail,6.61,Climate TRACE,high,Satellite + ground monitoring
2023-10-01,Africa,Road Transport,24.61,Climate TRACE,high,Satellite + ground monitoring
2023-10-01,Africa,Aviation,18.73,Climate TRACE,medium,Satellite + ground monitoring
2023-10-01,Africa,Shipping,35.65,Climate TRACE,medium,Satellite + ground monitoring
2023-10-01,Africa,Rail,2.04,Climate TRACE,low,Satellite + ground monitoring
2023-10-01,Middle East,Road Transport,31.16,Climate TRACE,high,Satellite + ground monitoring
2023-10-01,Middle East,Aviation,15.07,Climate TRACE,low,Satellite + ground monitoring
2023-10-01,Middle East,Shipping,40.96,Climate TRACE,medium,Satellite + ground monitoring
2023-10-01,Middle East,Rail,10.39,Climate TRACE,medium,Satellite + ground monitoring
2023-11-01,North America,Road Transport,226.67,Climate TRACE,high,Satellite + ground monitoring
2023-11-01,North America,Aviation,75.87,Climate TRACE,medium,Satellite + ground monitoring
2023-11-01,North America,Shipping,36.69,Climate TRACE,medium,Satellite + ground monitoring
2023-11-01,North America,Rail,17.93,Climate TRACE,medium,Satellite + ground monitoring
2023-11-01,Europe,Road Transport,193.26,Climate TRACE,medium,Satellite + ground monitoring
2023-11-01,Europe,Aviation,55.87,Climate TRACE,medium,Satellite + ground monitoring
2023-11-01,Europe,Shipping,97.45,Climate TRACE,high,Satellite + ground monitoring
2023-11-01,Europe,Rail,10.87,Climate TRACE,medium,Satellite + ground monitoring
2023-11-01,Asia Pacific,Road Transport,138.21,Climate TRACE,high,Satellite + ground monitoring
2023-11-01,Asia Pacific,Aviation,79.17,Climate TRACE,medium,Satellite + ground monitoring
2023-11-01,Asia Pacific,Shipping,42.57,Climate TRACE,high,Satellite + ground monitoring
2023-11-01,Asia Pacific,Rail,29.12,Climate TRACE,medium,Satellite + ground monitoring
2023-11-01,Latin America,Road Transport,107.48,Climate TRACE,medium,Satellite + ground monitoring
2023-11-01,Latin America,Aviation,39.62,Climate TRACE,high,Satellite + ground monitoring
2023-11-01,Latin America,Shipping,31.87,Climate TRACE,high,Satellite + ground monitoring
2023-11-01,Latin America,Rail,5.55,Climate TRACE,high,Satellite + ground monitoring
2023-11-01,Africa,Road Transport,28.94,Climate TRACE,high,Satellite + ground monitoring
2023-11-01,Africa,Aviation,13.52,Climate TRACE,high,Satellite + ground monitoring
2023-11-01,Africa,Shipping,44.28,Climate TRACE,medium,Satellite + ground monitoring
2023-11-01,Africa,Rail,5.08,Climate TRACE,low,Satellite + ground monitoring
2023-11-01,Middle East,Road Transport,69.09,Climate TRACE,high,Satellite + ground monitoring
2023-11-01,Middle East,Aviation,16.49,Climate TRACE,high,Satellite + ground monitoring
2023-11-01,Middle East,Shipping,28.22,Climate TRACE,medium,Satellite + ground monitoring
2023-11-01,Middle East,Rail,8.23,Climate TRACE,high,Satellite + ground monitoring
2023-12-01,North America,Road Transport,234.39,Climate TRACE,medium,Satellite + ground monitoring
2023-12-01,North America,Aviation,99.65,Climate TRACE,high,Satellite + ground monitoring
2023-12-01,North America,Shipping,42.46,Climate TRACE,high,Satellite + ground monitoring
2023-12-01,North America,Rail,16.86,Climate TRACE,medium,Satellite + ground monitoring
2023-12-01,Europe,Road Transport,85.62,Climate TRACE,high,Satellite + ground monitoring
2023-12-01,Europe,Aviation,60.86,Climate TRACE,medium,Satellite + ground monitoring
2023-12-01,Europe,Shipping,75.37,Climate TRACE,medium,Satellite + ground monitoring
2023-12-01,Europe,Rail,14.73,Climate TRACE,high,Satellite + ground monitoring
2023-12-01,Asia Pacific,Road Transport,220.08,Climate TRACE,high,Satellite + ground monitoring
2023-12-01,Asia Pacific,Aviation,113.91,Climate TRACE,medium,Satellite + ground monitoring
2023-12-01,Asia Pacific,Shipping,65.75,Climate TRACE,medium,Satellite + ground monitoring
2023-12-01,Asia Pacific,Rail,16.79,Climate TRACE,low,Satellite + ground monitoring
2023-12-01,Latin America,Road Transport,81.45,Climate TRACE,high,Satellite + ground monitoring
2023-12-01,Latin America,Aviation,28.15,Climate TRACE,low,Satellite + ground monitoring
2023-12-01,Latin America,Shipping,41.39,Climate TRACE,medium,Satellite + ground monitoring
2023-12-01,Latin America,Rail,7.32,Climate TRACE,medium,Satellite + ground monitoring
2023-12-01,Africa,Road Transport,37.77,Climate TRACE,medium,Satellite + ground monitoring
2023-12-01,Africa,Aviation,18.41,Climate TRACE,high,Satellite + ground monitoring
2023-12-01,Africa,Shipping,22.84,Climate TRACE,high,Satellite + ground monitoring
2023-12-01,Africa,Rail,5.25,Climate TRACE,high,Satellite + ground monitoring
2023-12-01,Middle East,Road Transport,83.09,Climate TRACE,medium,Satellite + ground monitoring
2023-12-01,Middle East,Aviation,15.11,Climate TRACE,low,Satellite + ground monitoring
2023-12-01,Middle East,Shipping,77.04,Climate TRACE,high,Satellite + ground monitoring
2023-12-01,Middle East,Rail,4.38,Climate TRACE,low,Satellite + ground monitoring
2024-01-01,North America,Road Transport,228.39,Climate TRACE,high,Satellite + ground monitoring
2024-01-01,North America,Aviation,94.06,Climate TRACE,high,Satellite + ground monitoring
2024-01-01,North America,Shipping,128.8,Climate TRACE,high,Satellite + ground monitoring
2024-01-01,North America,Rail,10.29,Climate TRACE,high,Satellite + ground monitoring
2024-01-01,Europe,Road Transport,62.24,Climate TRACE,high,Satellite + ground monitoring
2024-01-01,Europe,Aviation,53.49,Climate TRACE,high,Satellite + ground monitoring
2024-01-01,Europe,Shipping,103.37,Climate TRACE,high,Satellite + ground monitoring
2024-01-01,Europe,Rail,28.04,Climate TRACE,high,Satellite + ground monitoring
2024-01-01,Asia Pacific,Road Transport,229.47,Climate TRACE,low,Satellite + ground monitoring
2024-01-01,Asia Pacific,Aviation,98.71,Climate TRACE,medium,Satellite + ground monitoring
2024-01-01,Asia Pacific,Shipping,71.98,Climate TRACE,medium,Satellite + ground monitoring
2024-01-01,Asia Pacific,Rail,9.72,Climate TRACE,high,Satellite + ground monitoring
2024-01-01,Latin America,Road Transport,123.86,Climate TRACE,medium,Satellite + ground monitoring
2024-01-01,Latin America,Aviation,21.19,Climate TRACE,medium,Satellite + ground monitoring
2024-01-01,Latin America,Shipping,23.67,Climate TRACE,medium,Satellite + ground monitoring
2024-01-01,Latin America,Rail,5.02,Climate TRACE,medium,Satellite + ground monitoring
2024-01-01,Africa,Road Transport,68.35,Climate TRACE,high,Satellite + ground monitoring
2024-01-01,Africa,Aviation,26.23,Climate TRACE,medium,Satellite + ground monitoring
2024-01-01,Africa,Shipping,48.68,Climate TRACE,high,Satellite + ground monitoring
2024-01-01,Africa,Rail,3.99,Climate TRACE,high,Satellite + ground monitoring
2024-01-01,Middle East,Road Transport,151.13,Climate TRACE,medium,Satellite + ground monitoring
2024-01-01,Middle East,Aviation,28.9,Climate TRACE,medium,Satellite + ground monitoring
2024-01-01,Middle East,Shipping,38.83,Climate TRACE,low,Satellite + ground monitoring
2024-01-01,Middle East,Rail,15.99,Climate TRACE,high,Satellite + ground monitoring
2024-02-01,North America,Road Transport,180.42,Climate TRACE,high,Satellite + ground monitoring
2024-02-01,North America,Aviation,77.95,Climate TRACE,medium,Satellite + ground monitoring
2024-02-01,North America,Shipping,45.38,Climate TRACE,low,Satellite + ground monitoring
2024-02-01,North America,Rail,12.93,Climate TRACE,medium,Satellite + ground monitoring
2024-02-01,Europe,Road Transport,168.87,Climate TRACE,high,Satellite + ground monitoring
2024-02-01,Europe,Aviation,28.33,Climate TRACE,high,Satellite + ground monitoring
2024-02-01,Europe,Shipping,74.16,Climate TRACE,high,Satellite + ground monitoring
2024-02-01,Europe,Rail,19.35,Climate TRACE,high,Satellite + ground monitoring
2024-02-01,Asia Pacific,Road Transport,287.6,Climate TRACE,high,Satellite + ground monitoring
2024-02-01,Asia Pacific,Aviation,87.36,Climate TRACE,high,Satellite + ground monitoring
