scenario_id,network_size,carbon_weight,cost_weight,replicate,population_size,generations,mutation_rate,crossover_rate,random_seed,expected_runtime_minutes,created_date
S_073,500,1.0,0.0,3,100,500,0.1,0.8,115,50.0,2025-08-27 16:52:04
S_074,500,1.0,0.0,4,100,500,0.1,0.8,116,50.0,2025-08-27 16:52:04
S_075,500,1.0,0.0,5,100,500,0.1,0.8,117,50.0,2025-08-27 16:52:04
S_076,1000,0.0,1.0,1,100,500,0.1,0.8,118,100.0,2025-08-27 16:52:04
S_077,1000,0.0,1.0,2,100,500,0.1,0.8,119,100.0,2025-08-27 16:52:04
S_078,1000,0.0,1.0,3,100,500,0.1,0.8,120,100.0,2025-08-27 16:52:04
S_079,1000,0.0,1.0,4,100,500,0.1,0.8,121,100.0,2025-08-27 16:52:04
S_080,1000,0.0,1.0,5,100,500,0.1,0.8,122,100.0,2025-08-27 16:52:04
S_081,1000,0.25,0.75,1,100,500,0.1,0.8,123,100.0,2025-08-27 16:52:04
S_082,1000,0.25,0.75,2,100,500,0.1,0.8,124,100.0,2025-08-27 16:52:04
S_083,1000,0.25,0.75,3,100,500,0.1,0.8,125,100.0,2025-08-27 16:52:04
S_084,1000,0.25,0.75,4,100,500,0.1,0.8,126,100.0,2025-08-27 16:52:04
S_085,1000,0.25,0.75,5,100,500,0.1,0.8,127,100.0,2025-08-27 16:52:04
S_086,1000,0.5,0.5,1,100,500,0.1,0.8,128,100.0,2025-08-27 16:52:04
S_087,1000,0.5,0.5,2,100,500,0.1,0.8,129,100.0,2025-08-27 16:52:04
S_088,1000,0.5,0.5,3,100,500,0.1,0.8,130,100.0,2025-08-27 16:52:04
S_089,1000,0.5,0.5,4,100,500,0.1,0.8,131,100.0,2025-08-27 16:52:04
S_090,1000,0.5,0.5,5,100,500,0.1,0.8,132,100.0,2025-08-27 16:52:04
S_091,1000,0.75,0.25,1,100,500,0.1,0.8,133,100.0,2025-08-27 16:52:04
S_092,1000,0.75,0.25,2,100,500,0.1,0.8,134,100.0,2025-08-27 16:52:04
S_093,1000,0.75,0.25,3,100,500,0.1,0.8,135,100.0,2025-08-27 16:52:04
S_094,1000,0.75,0.25,4,100,500,0.1,0.8,136,100.0,2025-08-27 16:52:04
S_095,1000,0.75,0.25,5,100,500,0.1,0.8,137,100.0,2025-08-27 16:52:04
S_096,1000,1.0,0.0,1,100,500,0.1,0.8,138,100.0,2025-08-27 16:52:04
S_097,1000,1.0,0.0,2,100,500,0.1,0.8,139,100.0,2025-08-27 16:52:04
S_098,1000,1.0,0.0,3,100,500,0.1,0.8,140,100.0,2025-08-27 16:52:04
S_099,1000,1.0,0.0,4,100,500,0.1,0.8,141,100.0,2025-08-27 16:52:04
S_100,1000,1.0,0.0,5,100,500,0.1,0.8,142,100.0,2025-08-27 16:52:04
